Sale ID,Customer ID,CarModel,FuelType,City,SaleDate,Price,SalesPersonID,abc
40030,100029,i20,Electric,Delhi,10/2/2025,613787,38,
40031,100030,Baleno,CNG,Pune,11/10/2025,669679,29,
40032,100031,i20,CNG,Chennai,9/24/2025,1492297,11,
40033,100032,Venue,Diesel,Delhi,6/27/2025,1452529,18,
40034,100033,Swift,CNG,Pune,12/2/2025,532536,43,
40035,100034,XUV300,Petrol,Hyderabad,11/18/2025,1322231,25,
40036,100035,City,Electric,Mumbai,3/30/2025,1494199,36,
40037,100036,Venue,Petrol,Mumbai,12/24/2025,996441,45,
,,,,,,,,
40038,100037,Baleno,Electric,Delhi,1/25/2025,1327137,16,
40039,100038,Verna,CNG,Bangalore,12/27/2025,1717981,11,
40040,100039,XUV300,Diesel,Pune,3/10/2025,1209459,27,
40041,100040,Baleno,CNG,Delhi,5/21/2025,934255,37,
40042,100041,Baleno,Diesel,Mumbai,10/26/2025,1393371,17,
40043,100042,Baleno,Electric,Delhi,8/13/2025,1246956,13,
40044,100043,Verna,Petrol,Hyderabad,10/9/2025,1084607,40,
40045,100044,Baleno,Electric,Bangalore,9/10/2025,1777214,37,
40046,100045,City,CNG,Delhi,1/11/2025,1172323,14,
40047,100046,Baleno,Diesel,Delhi,7/6/2025,1169901,26,
40048,100047,i20,CNG,Bangalore,2/27/2025,1103154,48,
40049,100048,Swift,Diesel,Pune,12/13/2025,1103529,15,
40050,100049,Creta,Petrol,Bangalore,1/12/2025,1675429,17,
40051,100050,City,Diesel,Mumbai,10/2/2025,637146,31,
40052,100051,Venue,CNG,Pune,9/16/2025,1389205,13,
40053,100052,XUV300,CNG,Pune,2/15/2025,1688337,24,
40054,100053,XUV300,Petrol,Bangalore,5/21/2025,1266381,47,
40055,100054,Baleno,CNG,Hyderabad,6/1/2025,1610932,12,
40055,100054,Baleno,CNG,Hyderabad,6/1/2025,1610932,12,
40056,100055,City,Electric,Pune,4/1/2025,1247107,19,
40057,100056,XUV300,Petrol,Bangalore,8/19/2025,581693,27,
40058,100057,Swift,CNG,Pune,7/27/2025,1487664,49,
40059,100058,Baleno,Diesel,Hyderabad,6/8/2025,1673817,30,
40060,100059,Verna,Electric,Hyderabad,8/19/2025,624518,38,
40061,100060,i20,Diesel,Delhi,9/27/2025,1173162,7,
40062,100061,City,Diesel,Mumbai,2/20/2025,1316325,23,
40063,100062,Baleno,Electric,Hyderabad,11/30/2025,1521827,9,
40064,100063,Creta,CNG,Chennai,8/30/2025,696436,11,
40065,100064,i20,Diesel,Mumbai,5/25/2025,1054154,36,
40066,100065,i20,Diesel,Delhi,5/22/2025,1253301,19,
40067,100066,i20,Electric,Pune,7/15/2025,1041191,27,
40068,100067,Baleno,CNG,Delhi,10/22/2025,1008653,5,
40069,100068,Venue,CNG,Hyderabad,12/7/2025,698097,25,
40070,100069,City,Diesel,Delhi,10/23/2025,1678446,29,
40071,100070,Creta,Petrol,Hyderabad,5/9/2025,1689659,18,
40072,100071,Baleno,CNG,Chennai,1/17/2025,828487,1,
40073,100072,Swift,CNG,Hyderabad,11/21/2025,849308,48,
40074,100073,Venue,Diesel,Hyderabad,5/14/2025,1711436,5,
40075,100074,City,Electric,Hyderabad,9/20/2025,1272708,31,
40076,100075,Verna,Diesel,Chennai,10/18/2025,1206387,41,
40077,100076,i20,CNG,Mumbai,6/6/2025,859063,25,
40078,100077,XUV300,Petrol,Pune,12/23/2025,1226099,14,
40079,100078,City,Petrol,Pune,11/26/2025,903076,23,
40080,100079,Baleno,Electric,Bangalore,11/24/2025,737715,2,
40081,100080,Creta,CNG,Mumbai,4/13/2025,665273,39,
40082,100081,XUV300,Electric,Bangalore,11/3/2025,1629466,23,
40083,100082,Baleno,Petrol,Delhi,7/27/2025,1678612,2,
40084,100083,Swift,Electric,Delhi,5/22/2025,1549685,30,
40085,100084,Swift,CNG,Bangalore,7/28/2025,1753288,16,
40086,100085,XUV300,Diesel,Bangalore,10/5/2025,1312276,33,
40087,100086,Swift,CNG,Hyderabad,5/24/2025,1382453,19,
40088,100087,Verna,Petrol,Chennai,4/13/2025,1535617,27,
40089,100088,Baleno,Electric,Hyderabad,7/22/2025,1439335,22,
40090,100089,Creta,Petrol,Mumbai,12/18/2025,1494385,6,
40091,100090,City,CNG,Chennai,3/4/2025,1271492,35,
40092,100091,Creta,CNG,Mumbai,10/28/2025,1583707,13,
40093,100092,Venue,CNG,Mumbai,12/14/2025,1213010,5,
40094,100093,Verna,Petrol,Hyderabad,12/8/2025,1699953,22,
40095,100094,Creta,Petrol,Bangalore,3/14/2025,736501,40,
40096,100095,XUV300,Petrol,Pune,5/11/2025,1080080,17,
40097,100096,Baleno,CNG,Hyderabad,3/3/2025,513107,38,
40098,100097,i20,Electric,Pune,5/4/2025,1472766,6,
40099,100098,Verna,CNG,Mumbai,12/9/2025,1555131,39,
40100,100099,i20,CNG,Bangalore,7/7/2025,1486404,28,
40101,100100,Creta,Petrol,Bangalore,4/16/2025,1095436,50,
40102,100101,Swift,CNG,Mumbai,4/1/2025,1375294,25,
40103,100102,City,Diesel,Mumbai,5/11/2025,1500729,36,
40104,100103,Swift,Diesel,Chennai,11/26/2025,1647907,25,
40105,100104,Venue,CNG,Delhi,2/7/2025,950051,13,
40106,100105,XUV300,Diesel,Pune,7/6/2025,1092054,14,
40107,100106,Swift,CNG,Chennai,6/24/2025,1262930,33,
40108,100107,Venue,Petrol,Bangalore,5/21/2025,1394328,5,
40109,100108,XUV300,Petrol,Delhi,12/14/2025,1700462,18,
40110,100109,Venue,Petrol,Bangalore,6/4/2025,1210598,17,
40111,100110,Venue,Petrol,Chennai,5/5/2025,905731,43,
40112,100111,Venue,CNG,Mumbai,8/19/2025,503015,29,
40113,100112,Swift,Diesel,Mumbai,6/11/2025,1450878,32,
40114,100113,Venue,CNG,Hyderabad,10/3/2025,1330025,31,
40115,100114,XUV300,CNG,Mumbai,11/25/2025,1418842,6,
40116,100115,XUV300,Diesel,Bangalore,9/2/2025,527548,13,
40117,100116,XUV300,Petrol,Bangalore,11/26/2025,672893,2,
40118,100117,i20,Petrol,Hyderabad,9/11/2025,1459303,23,
40119,100118,Swift,Electric,Bangalore,7/2/2025,599570,30,
40120,100119,i20,Petrol,Delhi,1/7/2025,1217229,40,
40121,100120,City,CNG,Bangalore,8/6/2025,941958,46,
40122,100121,Creta,Diesel,Chennai,4/25/2025,617913,47,
40123,100122,Creta,Electric,Pune,2/8/2025,1565304,15,
40124,100123,Creta,Electric,Chennai,8/20/2025,1081978,2,
40125,100124,Swift,Diesel,Pune,8/5/2025,1408190,7,
40126,100125,Swift,Diesel,Delhi,6/28/2025,1719959,20,
40127,100126,XUV300,CNG,Hyderabad,2/14/2025,1105302,32,
40128,100127,City,Petrol,Mumbai,3/6/2025,1686521,48,
40129,100128,Baleno,Diesel,Bangalore,2/7/2025,829709,38,
40130,100129,Swift,Diesel,Mumbai,10/29/2025,1193950,7,
40131,100130,i20,CNG,Bangalore,4/18/2025,1784629,37,
40132,100131,XUV300,Diesel,Hyderabad,2/26/2025,1226047,40,
40133,100132,Baleno,Petrol,Delhi,12/3/2025,1269466,50,
40134,100133,Verna,CNG,Hyderabad,5/4/2025,1414746,32,
40135,100134,City,Petrol,Pune,6/14/2025,629937,40,
40136,100135,Venue,Electric,Chennai,3/26/2025,1493942,24,
40137,100136,Creta,Diesel,Pune,10/10/2025,1308697,35,
40138,100137,XUV300,Diesel,Bangalore,3/21/2025,1642058,28,
40139,100138,Verna,Petrol,Bangalore,4/17/2025,746110,31,
40140,100139,Creta,Electric,Delhi,7/24/2025,1152303,21,
40141,100140,XUV300,Petrol,Mumbai,8/14/2025,1782853,46,
40142,100141,i20,CNG,Mumbai,8/4/2025,1410872,5,
40143,100142,Venue,Diesel,Mumbai,5/24/2025,1009136,39,
40144,100143,Swift,CNG,Hyderabad,8/13/2025,1266153,48,
40145,100144,i20,Electric,Pune,3/2/2025,1537392,28,
40146,100145,Swift,Electric,Pune,3/1/2025,964224,5,
40147,100146,Creta,CNG,Pune,4/28/2025,898239,46,
40148,100147,Verna,Diesel,Pune,8/19/2025,846019,22,
40149,100148,XUV300,Diesel,Chennai,1/6/2025,1354352,13,
40150,100149,i20,Petrol,Chennai,3/18/2025,1169342,42,
40151,100150,City,CNG,Mumbai,2/11/2025,1482142,5,
40152,100151,City,CNG,Chennai,3/26/2025,1542987,24,
40153,100152,Venue,Diesel,Pune,12/18/2025,1125908,6,
40154,100153,Verna,Petrol,Chennai,3/20/2025,854635,12,
40155,100154,Baleno,Electric,Bangalore,1/24/2025,1243697,50,
40156,100155,Swift,CNG,Bangalore,7/25/2025,529167,4,
40157,100156,i20,CNG,Bangalore,5/27/2025,1011257,40,
40158,100157,Creta,CNG,Hyderabad,1/12/2025,960783,48,
40159,100158,i20,Petrol,Hyderabad,7/6/2025,916778,40,
40160,100159,Venue,Petrol,Bangalore,11/26/2025,1521154,21,
40161,100160,City,Electric,Mumbai,10/14/2025,794665,46,
40162,100161,Swift,CNG,Mumbai,12/19/2025,1699863,4,
40163,100162,Verna,Diesel,Hyderabad,9/15/2025,737299,34,
40164,100163,City,Diesel,Bangalore,7/23/2025,910229,8,
40165,100164,XUV300,Petrol,Chennai,2/17/2025,1735995,24,
40166,100165,Creta,Petrol,Hyderabad,10/8/2025,1345006,5,
40167,100166,Swift,CNG,Mumbai,4/11/2025,1483514,33,
40168,100167,Venue,CNG,Mumbai,8/22/2025,1066399,2,
40169,100168,Creta,Electric,Delhi,11/26/2025,987781,16,
40170,100169,Creta,Petrol,Bangalore,8/9/2025,1498594,34,
40171,100170,XUV300,CNG,Bangalore,3/31/2025,1427924,46,
40172,100171,Baleno,Petrol,Delhi,10/18/2025,551918,39,
40173,100172,Creta,Petrol,Chennai,11/8/2025,550055,37,
40174,100173,Creta,Petrol,Hyderabad,4/6/2025,939878,38,
40175,100174,City,Petrol,Pune,6/13/2025,945511,1,
40176,100175,Venue,CNG,Chennai,10/1/2025,1439932,6,
40177,100176,Swift,Petrol,Bangalore,1/7/2025,1639243,40,
40178,100177,Swift,Electric,Pune,11/17/2025,1463040,33,
40179,100178,Verna,Electric,Delhi,5/28/2025,1270431,34,
40180,100179,Baleno,Diesel,Chennai,1/17/2025,1382441,16,
40181,100180,Creta,Petrol,Mumbai,4/12/2025,1676752,26,
40182,100181,XUV300,Petrol,Bangalore,4/17/2025,1549947,48,
40183,100182,XUV300,Electric,Delhi,8/16/2025,897195,23,
40184,100183,Venue,CNG,Chennai,2/11/2025,895437,29,
40185,100184,Swift,CNG,Bangalore,5/25/2025,1723277,20,
40186,100185,Venue,CNG,Bangalore,7/3/2025,716040,23,
40187,100186,Creta,CNG,Pune,4/16/2025,647584,22,
40188,100187,Creta,Petrol,Mumbai,11/9/2025,542842,13,
40189,100188,Creta,Electric,Chennai,5/29/2025,512667,17,
40190,100189,Verna,Petrol,Bangalore,7/19/2025,1064412,3,
40191,100190,XUV300,Diesel,Mumbai,10/7/2025,805203,16,
40192,100191,Baleno,CNG,Hyderabad,12/25/2025,1459323,11,
40193,100192,i20,Electric,Chennai,8/17/2025,1578353,23,
40194,100193,Baleno,Diesel,Delhi,4/19/2025,1404439,31,
40195,100194,City,CNG,Hyderabad,12/24/2025,1482999,24,
40196,100195,XUV300,Petrol,Delhi,9/8/2025,705850,48,
40197,100196,i20,Electric,Bangalore,10/19/2025,977131,42,
40198,100197,XUV300,Electric,Hyderabad,2/17/2025,652189,8,
40199,100198,City,CNG,Pune,3/16/2025,530983,26,
40200,100199,Swift,Diesel,Delhi,11/3/2025,1195420,21,
40201,100200,City,CNG,Bangalore,4/29/2025,614622,41,
40202,100201,Creta,Diesel,Pune,3/31/2025,1746446,32,
40203,100202,Verna,CNG,Chennai,6/10/2025,1033371,32,
40204,100203,Verna,Electric,Hyderabad,12/23/2025,669042,35,
40205,100204,City,Diesel,Pune,11/25/2025,1713718,50,
40206,100205,Verna,CNG,Pune,5/5/2025,770133,21,
40207,100206,Baleno,Diesel,Mumbai,8/4/2025,1264415,20,
40208,100207,Swift,Petrol,Bangalore,8/25/2025,1034377,37,
40209,100208,XUV300,Petrol,Hyderabad,5/27/2025,718256,43,
40210,100209,Swift,Diesel,Hyderabad,7/19/2025,1005357,37,
40211,100210,Venue,CNG,Bangalore,5/25/2025,1311752,10,
40212,100211,XUV300,CNG,Mumbai,3/30/2025,731157,36,
40213,100212,XUV300,Electric,Hyderabad,3/28/2025,965841,48,
40214,100213,Swift,Electric,Bangalore,8/8/2025,1401552,45,
40215,100214,XUV300,Electric,Mumbai,2/14/2025,1170854,24,
40216,100215,XUV300,Electric,Bangalore,4/27/2025,1346794,23,
40217,100216,Baleno,CNG,Delhi,2/9/2025,767804,6,
40218,100217,Creta,Petrol,Bangalore,10/12/2025,1077985,23,
40219,100218,Baleno,Diesel,Pune,12/22/2025,570324,28,
40220,100219,XUV300,Diesel,Hyderabad,12/28/2025,1445118,3,
40221,100220,Verna,Diesel,Hyderabad,2/23/2025,1286603,21,
40222,100221,Baleno,Electric,Chennai,4/8/2025,879743,2,
40223,100222,Creta,Diesel,Delhi,3/4/2025,1533484,32,
40224,100223,Baleno,Electric,Chennai,3/23/2025,706676,21,
40225,100224,Venue,Electric,Chennai,4/12/2025,1501201,17,
40226,100225,XUV300,CNG,Pune,5/10/2025,1292827,46,
40227,100226,Swift,Electric,Delhi,3/3/2025,1042125,39,
40228,100227,Verna,Diesel,Chennai,4/13/2025,823908,33,
40229,100228,Venue,CNG,Hyderabad,3/12/2025,548626,33,
40230,100229,i20,Diesel,Delhi,10/22/2025,1395912,29,
40231,100230,Baleno,Petrol,Chennai,4/10/2025,1471231,2,
40232,100231,Verna,Diesel,Bangalore,5/4/2025,553171,3,
40233,100232,Verna,Diesel,Bangalore,1/17/2025,1229329,28,
40234,100233,Swift,Petrol,Hyderabad,3/2/2025,816395,2,
40235,100234,Venue,Electric,Pune,4/1/2025,523528,38,
40236,100235,Creta,CNG,Delhi,4/24/2025,590568,24,
40237,100236,XUV300,Electric,Delhi,10/30/2025,1556236,12,
40238,100237,Verna,Electric,Hyderabad,3/11/2025,1544787,42,
40239,100238,Creta,Electric,Chennai,12/26/2025,1693196,9,
40240,100239,Venue,Petrol,Delhi,6/21/2025,1650350,15,
40241,100240,Venue,CNG,Delhi,10/14/2025,983504,29,
40242,100241,Baleno,Petrol,Hyderabad,4/14/2025,1006663,40,
40243,100242,Baleno,CNG,Hyderabad,11/30/2025,1460464,33,
40244,100243,City,CNG,Mumbai,8/17/2025,1520094,25,
40245,100244,i20,Electric,Chennai,5/2/2025,730640,13,
40246,100245,Venue,Diesel,Delhi,9/11/2025,807749,3,
40247,100246,Venue,Petrol,Delhi,8/26/2025,1741316,32,
40248,100247,Creta,Electric,Hyderabad,11/1/2025,903249,17,
40249,100248,XUV300,Diesel,Delhi,11/24/2025,738935,4,
40250,100249,Baleno,Diesel,Chennai,2/15/2025,1194401,21,
40251,100250,Verna,Petrol,Delhi,1/29/2025,804360,50,
40252,100251,i20,Diesel,Hyderabad,1/5/2025,1491361,41,
40253,100252,Venue,Petrol,Delhi,4/8/2025,1253932,11,
40254,100253,XUV300,Petrol,Mumbai,3/9/2025,668110,34,
40255,100254,Baleno,Petrol,Pune,12/20/2025,596118,29,
40256,100255,XUV300,Petrol,Pune,6/1/2025,828236,17,
40257,100256,City,CNG,Hyderabad,8/16/2025,951445,28,
40258,100257,Verna,CNG,Chennai,10/25/2025,803940,11,
40259,100258,Verna,CNG,Pune,8/23/2025,1628141,48,
40260,100259,Baleno,Electric,Hyderabad,10/25/2025,1525029,2,
40261,100260,City,Petrol,Chennai,7/16/2025,1277899,6,
40262,100261,City,Diesel,Pune,3/7/2025,1337379,26,
40263,100262,XUV300,Petrol,Bangalore,6/1/2025,1421806,40,
40264,100263,XUV300,Diesel,Delhi,2/23/2025,616661,20,
40265,100264,Baleno,Diesel,Mumbai,3/9/2025,942914,47,
40266,100265,i20,Diesel,Mumbai,7/2/2025,544602,41,
40267,100266,Creta,Diesel,Bangalore,4/22/2025,729855,37,
40268,100267,Verna,Diesel,Delhi,10/28/2025,1107846,30,
40269,100268,Creta,Petrol,Bangalore,10/11/2025,802573,2,
40270,100269,Baleno,Diesel,Delhi,2/27/2025,862153,36,
40271,100270,Swift,Diesel,Bangalore,2/16/2025,954330,17,
40272,100271,Swift,Diesel,Bangalore,8/4/2025,700525,19,
40273,100272,Swift,Electric,Delhi,5/20/2025,601337,1,
40274,100273,Venue,Diesel,Mumbai,12/6/2025,1623408,31,
40275,100274,City,Electric,Pune,4/1/2025,773794,12,
40276,100275,XUV300,Petrol,Delhi,6/23/2025,922871,23,
40277,100276,Creta,Electric,Chennai,7/10/2025,1094030,50,
40278,100277,Swift,Petrol,Mumbai,1/19/2025,1675206,44,
40279,100278,Baleno,Petrol,Pune,4/23/2025,694505,6,
40280,100279,Venue,Electric,Bangalore,2/3/2025,907573,20,
40281,100280,Venue,Electric,Pune,4/30/2025,1115645,50,
40282,100281,Venue,Diesel,Mumbai,7/14/2025,1254971,28,
40283,100282,i20,Petrol,Bangalore,12/8/2025,720537,4,
40284,100283,Venue,Petrol,Chennai,10/4/2025,714549,49,
40285,100284,Baleno,CNG,Chennai,7/19/2025,1457855,18,
40286,100285,XUV300,Electric,Delhi,12/3/2025,1235924,18,
40287,100286,Creta,Petrol,Mumbai,7/10/2025,1661849,45,
40288,100287,Swift,Petrol,Chennai,7/19/2025,1523731,42,
40289,100288,City,Diesel,Bangalore,9/17/2025,1327607,5,
40290,100289,Verna,CNG,Pune,1/11/2025,1689900,9,
40291,100290,Venue,Electric,Pune,8/12/2025,1738496,42,
40292,100291,Creta,Diesel,Chennai,10/19/2025,590375,40,
40293,100292,City,CNG,Mumbai,4/7/2025,682126,28,
40294,100293,Swift,Electric,Mumbai,10/26/2025,1213753,39,
40295,100294,Swift,Diesel,Bangalore,4/14/2025,740395,3,
40296,100295,XUV300,Electric,Chennai,8/8/2025,749862,21,
40297,100296,Verna,Diesel,Mumbai,2/16/2025,685931,48,
40298,100297,Creta,Petrol,Bangalore,7/17/2025,1629952,49,
40299,100298,XUV300,Petrol,Pune,10/6/2025,1230535,24,
40300,100299,Creta,CNG,Chennai,5/7/2025,1443460,37,
40301,100300,Venue,Diesel,Mumbai,5/11/2025,595144,4,
40302,100301,Baleno,CNG,Bangalore,3/2/2025,1115070,47,
40303,100302,Baleno,Diesel,Mumbai,12/27/2025,818724,40,
40304,100303,Baleno,Diesel,Chennai,12/16/2025,703803,7,
40305,100304,Swift,Petrol,Bangalore,9/5/2025,1345930,6,
40306,100305,Creta,CNG,Bangalore,8/5/2025,1037114,27,
40307,100306,i20,Petrol,Bangalore,4/7/2025,846188,49,
40308,100307,Creta,Diesel,Hyderabad,9/23/2025,1396205,44,
40309,100308,Baleno,Petrol,Chennai,2/25/2025,1546697,35,
40310,100309,Creta,Electric,Mumbai,1/23/2025,701776,22,
40311,100310,Creta,CNG,Chennai,4/14/2025,915025,37,
40312,100311,Venue,Diesel,Bangalore,5/22/2025,971170,18,
40313,100312,i20,Petrol,Pune,8/21/2025,1787164,6,
40314,100313,i20,Electric,Delhi,4/3/2025,941395,21,
40315,100314,i20,CNG,Delhi,10/4/2025,1229329,28,
40316,100315,City,Petrol,Bangalore,5/11/2025,825278,28,
40317,100316,i20,Petrol,Chennai,9/17/2025,872265,21,
40318,100317,City,CNG,Mumbai,5/21/2025,882194,48,
40319,100318,Creta,CNG,Pune,4/21/2025,1780955,45,
40320,100319,Baleno,Petrol,Mumbai,7/8/2025,1649310,3,
40321,100320,City,Petrol,Chennai,6/20/2025,1380535,34,
40322,100321,i20,Petrol,Mumbai,12/12/2025,872323,25,
40323,100322,City,Petrol,Hyderabad,11/4/2025,1754924,9,
40324,100323,Swift,Electric,Pune,9/27/2025,1664975,26,
40325,100324,Baleno,Electric,Hyderabad,3/8/2025,1341114,36,
40326,100325,Baleno,CNG,Pune,2/5/2025,629781,1,
40327,100326,Verna,CNG,Chennai,7/24/2025,1143741,15,
40328,100327,Verna,Petrol,Delhi,8/13/2025,970567,18,
40329,100328,Verna,Electric,Mumbai,4/4/2025,1677410,19,
40330,100329,Swift,CNG,Bangalore,6/28/2025,1507156,29,
40331,100330,Baleno,Electric,Chennai,8/17/2025,974691,9,
40332,100331,i20,CNG,Pune,5/13/2025,1314038,17,
40333,100332,i20,Petrol,Hyderabad,10/17/2025,1674410,9,
40334,100333,Venue,Diesel,Hyderabad,8/29/2025,1348254,11,
40335,100334,Creta,Electric,Pune,11/16/2025,800618,7,
40336,100335,Venue,Diesel,Pune,6/5/2025,1096330,25,
40337,100336,Baleno,CNG,Mumbai,6/22/2025,1260787,46,
40338,100337,Venue,CNG,Pune,2/20/2025,508501,34,
40339,100338,i20,Electric,Hyderabad,3/26/2025,746461,28,
40340,100339,Swift,Petrol,Delhi,1/6/2025,1565231,21,
40341,100340,Swift,CNG,Pune,11/9/2025,1605761,34,
40342,100341,i20,Electric,Delhi,10/20/2025,588702,4,
40343,100342,Creta,Electric,Mumbai,7/20/2025,1331788,29,
40344,100343,i20,Diesel,Hyderabad,4/2/2025,1446494,3,
40345,100344,Venue,Electric,Chennai,2/13/2025,834671,9,
40346,100345,i20,Petrol,Hyderabad,7/26/2025,882878,2,
40347,100346,Swift,Petrol,Delhi,4/28/2025,1416940,41,
40348,100347,i20,Diesel,Chennai,12/21/2025,1080832,24,
40349,100348,Swift,CNG,Mumbai,11/10/2025,1438244,31,
40350,100349,XUV300,Electric,Delhi,8/25/2025,1207116,7,
40351,100350,Creta,CNG,Pune,4/29/2025,1711324,44,
40352,100351,City,Petrol,Chennai,5/5/2025,746928,48,
40353,100352,Venue,CNG,Mumbai,7/12/2025,1244076,15,
40354,100353,City,Petrol,Hyderabad,12/14/2025,1530321,28,
40355,100354,City,Petrol,Chennai,8/20/2025,725625,40,
40356,100355,Baleno,CNG,Hyderabad,7/1/2025,1339586,41,
40357,100356,Verna,Diesel,Delhi,4/4/2025,512641,39,
40358,100357,Verna,CNG,Pune,7/12/2025,1538370,35,
40359,100358,Swift,Diesel,Chennai,11/14/2025,1103646,14,
40360,100359,XUV300,Petrol,Mumbai,11/7/2025,1204861,11,
40361,100360,i20,Petrol,Mumbai,8/16/2025,1411100,5,
40362,100361,Verna,CNG,Delhi,7/17/2025,1758789,43,
40363,100362,Creta,Petrol,Delhi,6/11/2025,1180041,22,
40364,100363,City,CNG,Delhi,4/6/2025,857076,17,
40365,100364,Creta,Diesel,Pune,4/21/2025,1520910,41,
40366,100365,Swift,Electric,Delhi,6/24/2025,1549595,48,
40367,100366,Venue,Diesel,Chennai,9/25/2025,1694660,28,
40368,100367,XUV300,Electric,Chennai,11/1/2025,1784494,42,
40369,100368,Venue,CNG,Delhi,3/11/2025,1136851,2,
40370,100369,Venue,Petrol,Delhi,3/25/2025,776481,46,
40371,100370,Creta,Petrol,Pune,7/27/2025,595830,12,
40372,100371,Venue,Electric,Pune,10/12/2025,683821,22,
40373,100372,Baleno,Diesel,Delhi,2/18/2025,1699316,31,
40374,100373,Creta,Petrol,Pune,1/14/2025,807202,15,
40375,100374,Baleno,Diesel,Pune,4/13/2025,1444012,11,
40376,100375,i20,Electric,Pune,3/4/2025,1750215,38,
40377,100376,Creta,Petrol,Bangalore,9/19/2025,1204975,8,
40378,100377,XUV300,Electric,Mumbai,8/19/2025,1182513,50,
40379,100378,Creta,Electric,Pune,4/25/2025,773568,25,
40380,100379,Verna,CNG,Delhi,11/4/2025,770146,23,
40381,100380,XUV300,Diesel,Chennai,10/21/2025,1200495,33,
40382,100381,Creta,CNG,Delhi,8/19/2025,1035008,40,
40383,100382,XUV300,Electric,Hyderabad,4/25/2025,1586176,6,
40384,100383,City,Petrol,Delhi,10/10/2025,898645,23,
40385,100384,XUV300,Petrol,Delhi,4/17/2025,1673681,17,
40386,100385,Creta,Diesel,Delhi,4/18/2025,1342852,31,
40387,100386,Verna,Electric,Chennai,11/23/2025,963491,2,
40388,100387,i20,CNG,Pune,2/2/2025,828968,45,
40389,100388,City,CNG,Pune,6/14/2025,861409,9,
40390,100389,City,Electric,Bangalore,9/18/2025,1668516,48,
40391,100390,Baleno,Electric,Pune,5/19/2025,1340017,48,
40392,100391,Creta,Petrol,Bangalore,12/23/2025,791809,23,
40393,100392,XUV300,Petrol,Delhi,4/14/2025,1238318,30,
40394,100393,XUV300,CNG,Hyderabad,5/27/2025,933676,13,
40395,100394,Baleno,Electric,Bangalore,12/4/2025,1680040,34,
40396,100395,i20,Electric,Hyderabad,9/20/2025,1287523,25,
40397,100396,Baleno,CNG,Delhi,5/23/2025,827402,30,
40398,100397,Swift,Diesel,Hyderabad,8/24/2025,736116,16,
40399,100398,City,CNG,Pune,4/1/2025,1096440,32,
40400,100399,Baleno,Petrol,Hyderabad,12/27/2025,1425748,28,
40401,100400,Creta,Petrol,Bangalore,10/30/2025,1719553,13,
40402,100401,Baleno,Petrol,Delhi,8/20/2025,898014,11,
40403,100402,XUV300,Petrol,Hyderabad,8/19/2025,1582343,19,
40404,100403,Baleno,Petrol,Hyderabad,6/30/2025,1431478,26,
40405,100404,Venue,CNG,Mumbai,12/12/2025,957745,13,
40406,100405,Venue,Petrol,Mumbai,12/29/2025,1052813,12,
40407,100406,Swift,Petrol,Pune,4/27/2025,933244,12,
40408,100407,City,CNG,Hyderabad,7/5/2025,1208647,3,
40409,100408,XUV300,Electric,Mumbai,9/28/2025,800325,35,
40410,100409,Creta,Electric,Pune,4/7/2025,1402361,13,
40411,100410,City,Diesel,Bangalore,6/12/2025,894538,4,
